week,banner,sku,promo_planned,promo_executed,Gap,,,,,
2021-W52,MegaMart,142,0,0,0,,,,,
2022-W01,MegaMart,142,0,0,0,,,,,
2022-W02,MegaMart,142,0,0,0,,Banners,promos_planned,promos_executed,
2022-W03,MegaMart,142,0,0,0,,FreshCo,228,185,
2022-W04,MegaMart,142,0,0,0,,MegaMart,228,192,
2022-W05,MegaMart,142,0,0,0,,ShopOnline,228,184,
2022-W06,MegaMart,142,1,1,0,,ValueFoods,228,188,
2022-W07,MegaMart,142,0,0,0,,Grand Total,912,749,
2022-W08,MegaMart,142,0,0,0,,,,,
2022-W09,MegaMart,142,0,0,0,,Weeks,promos_planned,promos_executed,Missed_Promotions
2022-W10,MegaMart,142,0,0,0,,2022-W06,16,15,1
2022-W11,MegaMart,142,0,0,0,,2022-W09,16,11,5
2022-W12,MegaMart,142,1,0,1,,2022-W12,16,12,4
2022-W13,MegaMart,142,0,0,0,,2022-W18,32,30,2
2022-W14,MegaMart,142,0,0,0,,2022-W24,16,12,4
2022-W15,MegaMart,142,0,0,0,,2022-W27,16,16,0
2022-W16,MegaMart,142,0,0,0,,2022-W30,16,14,2
2022-W17,MegaMart,142,0,0,0,,2022-W36,32,28,4
2022-W18,MegaMart,142,1,1,0,,2022-W42,16,15,1
2022-W19,MegaMart,142,0,0,0,,2022-W45,16,16,0
2022-W20,MegaMart,142,0,0,0,,2022-W48,16,14,2
2022-W21,MegaMart,142,0,0,0,,2023-W06,16,13,3
2022-W22,MegaMart,142,0,0,0,,2023-W09,16,14,2
2022-W23,MegaMart,142,0,0,0,,2023-W12,16,13,3
2022-W24,MegaMart,142,1,1,0,,2023-W18,32,28,4
2022-W25,MegaMart,142,0,0,0,,2023-W24,16,13,3
2022-W26,MegaMart,142,0,0,0,,2023-W27,16,13,3
2022-W27,MegaMart,142,0,0,0,,2023-W30,16,12,4
2022-W28,MegaMart,142,0,0,0,,2023-W36,32,28,4
2022-W29,MegaMart,142,0,0,0,,2023-W42,16,15,1
2022-W30,MegaMart,142,1,1,0,,2023-W45,16,14,2
2022-W31,MegaMart,142,0,0,0,,2023-W48,16,9,7
2022-W32,MegaMart,142,0,0,0,,2024-W06,16,16,0
2022-W33,MegaMart,142,0,0,0,,2024-W09,16,9,7
2022-W34,MegaMart,142,0,0,0,,2024-W12,16,12,4
2022-W35,MegaMart,142,0,0,0,,2024-W18,32,28,4
2022-W36,MegaMart,142,1,1,0,,2024-W24,16,14,2
2022-W37,MegaMart,142,0,0,0,,2024-W27,16,13,3
2022-W38,MegaMart,142,0,0,0,,2024-W30,16,15,1
2022-W39,MegaMart,142,0,0,0,,2024-W36,32,28,4
2022-W40,MegaMart,142,0,0,0,,2024-W42,16,15,1
2022-W41,MegaMart,142,0,0,0,,2024-W45,16,14,2
2022-W42,MegaMart,142,1,1,0,,2024-W48,16,12,4
2022-W43,MegaMart,142,0,0,0,,2025-W06,16,13,3
2022-W44,MegaMart,142,0,0,0,,2025-W09,16,12,4
2022-W45,MegaMart,142,0,0,0,,2025-W12,16,13,3
2022-W46,MegaMart,142,0,0,0,,2025-W18,32,26,6
2022-W47,MegaMart,142,0,0,0,,2025-W24,16,9,7
2022-W48,MegaMart,142,1,1,0,,2025-W27,16,12,4
