store_id,banner,region,market_tier
S1000,MegaMart,West,Tier 1
S1001,MegaMart,West,Tier 1
S1002,MegaMart,West,Tier 1
S1003,MegaMart,West,Tier 1
S1004,MegaMart,West,Tier 1
S1005,MegaMart,West,Tier 1
S1006,MegaMart,West,Tier 1
S1007,MegaMart,West,Tier 1
S1008,MegaMart,West,Tier 1
S1009,MegaMart,Midwest,Tier 1
S1010,MegaMart,Midwest,Tier 1
S1011,MegaMart,Midwest,Tier 1
S1012,MegaMart,Midwest,Tier 1
S1013,MegaMart,Midwest,Tier 1
S1014,MegaMart,Midwest,Tier 1
S1015,MegaMart,Midwest,Tier 1
S1016,MegaMart,South,Tier 1
S1017,MegaMart,South,Tier 1
S1018,MegaMart,South,Tier 1
S1019,MegaMart,South,Tier 1
S1020,MegaMart,South,Tier 1
S1021,MegaMart,South,Tier 1
S1022,ValueFoods,South,Tier 2
S1023,ValueFoods,South,Tier 2
S1024,ValueFoods,South,Tier 2
S1025,ValueFoods,South,Tier 2
S1026,ValueFoods,South,Tier 2
S1027,ValueFoods,South,Tier 2
S1028,ValueFoods,South,Tier 2
S1029,ValueFoods,Northeast,Tier 2
S1030,ValueFoods,Northeast,Tier 2
S1031,ValueFoods,Northeast,Tier 2
S1032,ValueFoods,Northeast,Tier 2
S1033,ValueFoods,Northeast,Tier 2
S1034,ValueFoods,Northeast,Tier 2
S1035,FreshCo,West,Tier 2
S1036,FreshCo,West,Tier 2
S1037,FreshCo,West,Tier 2
S1038,FreshCo,West,Tier 2
S1039,FreshCo,West,Tier 2
S1040,FreshCo,Northeast,Tier 1
S1041,FreshCo,Northeast,Tier 1
S1042,FreshCo,Northeast,Tier 1
S1043,FreshCo,Northeast,Tier 1
S1044,ShopOnline,National,Online
